,targetname,ori_plddt,ori_tmscore,ref_plddt,ref_tmscore
0,H1134,0.8639243372425778,0.92072,0.8730723176181721,0.92526
1,H1134,0.8651790826877643,0.92241,0.8686512816809884,0.92336
2,H1140,0.2492873285917436,0.60478,0.257443492938888,0.60062
3,H1140,0.244609492117908,0.60414,0.2484102068301346,0.59605
4,H1140,0.2382828322663286,0.60451,0.2576234053562405,0.59619
5,H1141,0.6955142895735007,0.66905,0.716422282610996,0.66904
6,H1144,0.3693156434690239,0.67783,0.4195309862321748,0.62512
7,T1121,0.7112902726851968,0.54508,0.7185221694880078,0.5469
8,T1121,0.7114986760625917,0.54309,0.7140529953726501,0.54233
9,T1121,0.7199045076751909,0.54432,0.7642887636568848,0.5293
10,T1121,0.726547317482646,0.5437,0.750603884464398,0.52518
11,T1123,0.7377721500742878,0.86647,0.7619339110930207,0.87701
12,T1123,0.7252360181980352,0.89463,0.7610540388612097,0.89333
13,T1123,0.693588847465346,0.87809,0.7400762184332667,0.87911
14,T1173,0.926575023478245,0.96807,0.9420668633514422,0.98816
15,T1174,0.8200486734875355,0.74186,0.8308485527464221,0.4456
16,T1178,0.8726452647612496,0.94002,0.879799490311969,0.94319
17,T1178,0.8728139615619303,0.94687,0.8747241753349883,0.9469
18,T1179,0.615067644249051,0.74448,0.706918288507445,0.80565
19,T1179,0.6504448347707206,0.87582,0.7376974139032312,0.85727
20,T1179,0.6450167161039037,0.7495,0.6656890168358238,0.8392
