,targetname,ori_plddt,ori_tmscore,ref_plddt,ref_tmscore
0,H1134,0.8790218301373882,0.92574,0.8530068237886507,0.92278
1,H1134,0.8696661752255253,0.92281,0.8638157213778694,0.92101
2,H1134,0.8683902128099825,0.92444,0.8460747716804521,0.92022
3,H1134,0.8639243372425778,0.92072,0.8730723176181721,0.92526
4,H1134,0.8651790826877643,0.92241,0.8686512816809884,0.92336
5,H1140,0.2492873285917436,0.60478,0.257443492938888,0.60062
6,H1140,0.244609492117908,0.60414,0.2484102068301346,0.59605
7,H1140,0.261527613192378,0.60539,0.2537741716353209,0.60419
8,H1140,0.2560969491509406,0.6049,0.2477151564836762,0.60952
9,H1140,0.2382828322663286,0.60451,0.2576234053562405,0.59619
10,H1141,0.7456515266667219,0.66995,0.3431066392478524,0.66418
11,H1141,0.7570696225007091,0.66871,0.7277308022307215,0.66874
12,H1141,0.7616984231229811,0.6682,0.7313112163598187,0.67006
13,H1141,0.7181621840875154,0.67213,0.7145226558977564,0.67099
14,H1141,0.6955142895735007,0.66905,0.716422282610996,0.66904
15,H1142,0.2902833951014708,0.61225,0.2819191091434115,0.61484
16,H1142,0.4918960877342295,0.61277,0.2827961590050311,0.61444
17,H1142,0.3810373236238675,0.61286,0.2834165012464362,0.61473
18,H1142,0.3653416224751403,0.61279,0.2709133874319769,0.61463
19,H1142,0.4607989255521876,0.61283,0.271150863514776,0.61434
20,H1143,0.891120157185501,0.97833,0.8874562901206168,0.9819
21,H1143,0.8894314214109227,0.97992,0.8866813310162185,0.98204
22,H1143,0.8921152786815609,0.9813,0.8863509184240098,0.98109
23,H1143,0.8893778900366724,0.98051,0.8835238163419055,0.98058
24,H1143,0.8929852047935972,0.98259,0.8884815073301593,0.98218
25,H1144,0.4394088483845346,0.67777,0.2676656019003254,0.83531
26,H1144,0.4339462746842778,0.67842,0.2621171216861216,0.74474
27,H1144,0.3693156434690239,0.67783,0.4195309862321748,0.62512
28,H1144,0.5679461994957331,0.62471,0.4018186193016888,0.62488
29,H1144,0.3758823054411201,0.67792,0.2605119594737211,0.70294
30,H1151,0.8015660109094175,0.92937,0.7973574118228932,0.94073
31,H1151,0.7975101151877161,0.93419,0.7931017897694301,0.93548
32,H1151,0.7993352999058965,0.92909,0.7941663455477472,0.94337
33,H1151,0.7970317882140344,0.93457,0.7923791532026928,0.94461
34,H1151,0.7991394500458373,0.93458,0.7956214199722742,0.93629
35,H1167,0.667656649412399,0.52162,0.6338574500596096,0.52952
36,H1167,0.67144038707291,0.52111,0.6305173384399637,0.53118
37,H1167,0.6690345231790341,0.52155,0.6312941700301162,0.53439
38,H1167,0.6692669250816821,0.52187,0.6324485374749006,0.53052
39,H1167,0.6696792654720439,0.52154,0.6314311168131346,0.53089
40,T1121,0.7112902726851968,0.54508,0.7185221694880078,0.5469
41,T1121,0.7149007170513373,0.54569,0.7117939125972366,0.54543
42,T1121,0.7114986760625917,0.54309,0.7140529953726501,0.54233
43,T1121,0.7199045076751909,0.54432,0.7642887636568848,0.5293
44,T1121,0.726547317482646,0.5437,0.750603884464398,0.52518
45,T1123,0.7244540889319678,0.86699,0.709579917550387,0.86961
46,T1123,0.7377721500742878,0.86647,0.7619339110930207,0.87701
47,T1123,0.7252360181980352,0.89463,0.7610540388612097,0.89333
48,T1123,0.693588847465346,0.87809,0.7400762184332667,0.87911
49,T1123,0.7386236755133851,0.87843,0.7334938841513865,0.89924
50,T1127,0.94245032808905,0.96978,0.8954564584049668,0.95203
51,T1127,0.945779024307184,0.97043,0.8929683125230601,0.95831
52,T1127,0.9401855343280948,0.96908,0.916245489093483,0.97734
53,T1127,0.945633085046322,0.9698,0.8947102348343584,0.95944
54,T1127,0.9421700858346688,0.96974,0.8931450168625652,0.96057
55,T1153,0.8871763685643831,0.91687,0.3805642588860013,0.48624
56,T1153,0.8930216326331938,0.92419,0.412802259258117,0.48864
57,T1153,0.9181674883485672,0.92827,0.3850466534524946,0.48408
58,T1153,0.9177192231652376,0.9288,0.3699584206739402,0.48398
59,T1153,0.8913751300730016,0.92463,0.3826995675709096,0.48391
60,T1160,0.842295619269161,0.34243,0.8216952202982145,0.33995
61,T1160,0.8421864939058314,0.34194,0.8227902017363591,0.33976
62,T1160,0.8411332689672492,0.34065,0.8316699081549046,0.34222
63,T1160,0.8412321824406338,0.34181,0.8217241340146906,0.33976
64,T1160,0.8431707545940346,0.34253,0.821683086624139,0.34018
65,T1161,0.8396796169204922,0.45298,0.8376682250895849,0.45521
66,T1161,0.8454681622308713,0.45373,0.8372776911729458,0.45551
67,T1161,0.8396624830686463,0.45368,0.8334607014879297,0.45487
68,T1161,0.8525972625683358,0.4534,0.8467126188622773,0.45336
69,T1161,0.8519611487607824,0.4536,0.8462511495820627,0.45375
70,T1173,0.9351654631803868,0.96955,0.9270349133412948,0.41788
71,T1173,0.9355106299773416,0.41442,0.9269109578273812,0.41412
72,T1173,0.9267262570383648,0.97304,0.9265285309203484,0.41162
73,T1173,0.926575023478245,0.96807,0.9420668633514422,0.98816
74,T1173,0.9367073882218886,0.41162,0.9210147249902316,0.41335
75,T1174,0.8277991056073223,0.44784,0.8270497452326441,0.45097
76,T1174,0.8137114782818129,0.43896,0.7541842328828838,0.43106
77,T1174,0.8200486734875355,0.74186,0.8308485527464221,0.4456
78,T1174,0.8199647155429053,0.42678,0.8192229604563817,0.72724
79,T1174,0.8173599392100761,0.72871,0.8047747638729307,0.60411
80,T1178,0.8745572408108896,0.94517,0.8705468564368879,0.94664
81,T1178,0.8726452647612496,0.94002,0.879799490311969,0.94319
82,T1178,0.8728139615619303,0.94687,0.8747241753349883,0.9469
83,T1178,0.8717861204555729,0.94104,0.8616159689042318,0.93795
84,T1178,0.8777642166419868,0.94286,0.8527488600726418,0.93687
85,T1179,0.615067644249051,0.74448,0.706918288507445,0.80565
86,T1179,0.7207155623054636,0.82545,0.5864806681730281,0.82925
87,T1179,0.6373949079650245,0.82521,0.5274330286205398,0.81831
88,T1179,0.6504448347707206,0.87582,0.7376974139032312,0.85727
89,T1179,0.6450167161039037,0.7495,0.6656890168358238,0.8392
90,T1187,0.6292691399488242,0.49174,0.5997746621763733,0.48603
91,T1187,0.7799382931086104,0.68811,0.2308445238352578,0.89932
92,T1187,0.8312217780571028,0.67572,0.2265071024165919,0.49976
93,T1187,0.6502489842517716,0.49294,0.5705386014005652,0.48659
94,T1187,0.8071305320871053,0.68934,0.1997304155852726,0.66916
