,targetname,ori_tmscore,ref_tmscore
0,H1134,0.923224,0.9225259999999998
1,H1140,0.604744,0.601314
2,H1141,0.669608,0.6686019999999999
3,H1142,0.6126999999999999,0.6145959999999999
4,H1143,0.9805300000000001,0.981558
5,H1144,0.66733,0.706598
6,H1151,0.9323599999999999,0.9400959999999999
7,H1167,0.521538,0.5313
8,T1121,0.544376,0.537828
9,T1123,0.8769220000000001,0.8836599999999999
10,T1127,0.9697659999999999,0.961538
11,T1153,0.9245519999999999,0.48536999999999997
12,T1160,0.341872,0.340374
13,T1161,0.45347799999999994,0.45454
14,T1173,0.7473400000000001,0.529026
15,T1174,0.5568299999999999,0.531796
16,T1178,0.943192,0.94231
17,T1179,0.804092,0.829936
18,T1187,0.60757,0.608172
